,frame#,pts
0,0,"[302, 318, 266, 320, 174, 319, 209, 320, 238, 380]"
1,1,"[304, 317, 268, 319, 175, 318, 210, 319, 239, 379]"
2,2,"[305, 317, 269, 319, 176, 317, 211, 319, 240, 378]"
3,3,"[306, 317, 269, 318, 177, 317, 212, 319, 240, 379]"
4,4,"[306, 317, 270, 318, 177, 317, 212, 319, 240, 378]"
5,5,"[307, 316, 270, 318, 178, 316, 212, 318, 241, 378]"
6,6,"[307, 316, 270, 318, 177, 316, 213, 318, 241, 377]"
7,7,"[308, 317, 272, 318, 179, 316, 214, 318, 242, 378]"
8,8,"[308, 317, 271, 318, 179, 316, 214, 318, 242, 377]"
9,9,"[308, 317, 271, 318, 178, 316, 214, 318, 242, 378]"
10,10,"[307, 317, 271, 318, 179, 316, 214, 318, 242, 378]"
11,11,"[307, 317, 271, 319, 179, 317, 214, 319, 242, 378]"
12,12,"[308, 316, 272, 318, 179, 317, 214, 318, 243, 377]"
13,13,"[308, 317, 271, 318, 178, 316, 214, 318, 242, 378]"
14,14,"[308, 317, 272, 319, 179, 317, 214, 319, 243, 378]"
15,15,"[308, 317, 272, 319, 179, 317, 215, 319, 243, 378]"
16,16,"[308, 317, 272, 318, 180, 317, 215, 319, 243, 378]"
17,17,"[308, 317, 273, 319, 180, 317, 215, 319, 244, 378]"
18,18,"[309, 317, 273, 318, 180, 317, 215, 319, 244, 377]"
19,19,"[309, 317, 273, 319, 180, 317, 215, 319, 244, 377]"
20,20,"[310, 318, 274, 319, 181, 317, 216, 319, 245, 378]"
21,21,"[310, 318, 274, 319, 180, 317, 216, 319, 244, 378]"
22,22,"[311, 317, 275, 319, 181, 317, 217, 319, 245, 378]"
23,23,"[311, 317, 275, 319, 182, 317, 217, 319, 246, 378]"
24,24,"[312, 318, 276, 319, 182, 317, 218, 319, 246, 379]"
25,25,"[312, 318, 276, 319, 183, 317, 218, 319, 246, 378]"
26,26,"[313, 318, 277, 320, 183, 317, 219, 319, 247, 379]"
27,27,"[313, 318, 277, 320, 184, 318, 219, 320, 248, 379]"
28,28,"[313, 318, 277, 320, 184, 318, 219, 320, 248, 379]"
29,29,"[313, 319, 277, 320, 184, 318, 220, 320, 248, 379]"
30,30,"[314, 318, 277, 320, 184, 318, 219, 320, 248, 379]"
31,31,"[314, 318, 277, 320, 184, 317, 219, 319, 248, 379]"
32,32,"[314, 319, 278, 320, 184, 319, 219, 320, 248, 379]"
33,33,"[314, 319, 278, 320, 185, 318, 220, 320, 248, 379]"
34,34,"[314, 319, 277, 320, 184, 318, 219, 320, 248, 379]"
35,35,"[313, 318, 277, 320, 184, 318, 219, 320, 248, 380]"
36,36,"[313, 319, 277, 320, 184, 318, 219, 320, 248, 380]"
37,37,"[313, 319, 277, 320, 184, 319, 219, 320, 248, 380]"
38,38,"[313, 319, 277, 320, 184, 319, 220, 320, 248, 379]"
39,39,"[313, 319, 277, 320, 184, 319, 219, 320, 248, 380]"
40,40,"[313, 319, 277, 321, 184, 319, 219, 321, 248, 380]"
41,41,"[313, 319, 277, 320, 184, 318, 219, 320, 248, 380]"
42,42,"[313, 318, 277, 320, 184, 318, 220, 320, 249, 380]"
43,43,"[313, 318, 277, 319, 184, 318, 219, 319, 248, 380]"
44,44,"[313, 318, 277, 319, 184, 318, 220, 319, 248, 379]"
45,45,"[313, 318, 277, 319, 184, 317, 220, 319, 248, 379]"
46,46,"[314, 318, 277, 319, 184, 317, 219, 319, 248, 379]"
47,47,"[313, 318, 277, 319, 184, 318, 220, 319, 248, 379]"
48,48,"[314, 318, 278, 319, 184, 318, 220, 319, 248, 380]"
49,49,"[314, 318, 278, 320, 185, 318, 220, 320, 249, 380]"
50,50,"[315, 318, 278, 320, 185, 318, 221, 320, 249, 379]"
51,51,"[315, 318, 278, 319, 186, 317, 221, 319, 249, 379]"
52,52,"[315, 319, 279, 320, 186, 318, 221, 320, 249, 379]"
53,53,"[315, 319, 279, 320, 186, 319, 221, 320, 250, 380]"
54,54,"[315, 320, 279, 320, 186, 319, 221, 320, 250, 380]"
55,55,"[316, 320, 280, 320, 186, 320, 221, 320, 250, 380]"
56,56,"[315, 320, 280, 321, 186, 319, 222, 320, 251, 380]"
57,57,"[315, 319, 280, 320, 186, 319, 222, 320, 251, 380]"
58,58,"[315, 319, 280, 320, 186, 319, 222, 320, 250, 380]"
59,59,"[316, 319, 280, 320, 187, 318, 222, 320, 251, 380]"
60,60,"[316, 319, 280, 320, 187, 319, 222, 320, 251, 381]"
61,61,"[316, 319, 280, 320, 187, 319, 222, 320, 250, 380]"
