,frame#,pts
0,1,"[[588.        312.        -81.26142  ]
 [588.        340.        -81.62419  ]
 [592.        366.        -82.28876  ]
 [598.        392.        -79.696785 ]
 [606.        418.        -67.76462  ]
 [624.        440.        -45.290733 ]
 [642.        454.        -18.436764 ]
 [664.        464.          6.563768 ]
 [698.        472.         16.111095 ]
 [730.        464.          2.4943318]
 [752.        454.        -24.042837 ]
 [770.        440.        -52.270706 ]
 [784.        418.        -75.59257  ]
 [792.        392.        -87.9571   ]
 [800.        366.        -91.511604 ]
 [806.        340.        -92.20878  ]
 [806.        308.        -92.47511  ]
 [610.        290.         15.279299 ]
 [624.        278.         31.153696 ]
 [642.        274.         41.13252  ]
 [656.        274.         46.66181  ]
 [672.        278.         48.626568 ]
 [726.        278.         45.68418  ]
 [742.        274.         42.383385 ]
 [756.        274.         35.09799  ]
 [774.        278.         23.59937  ]
 [784.        286.          6.281971 ]
 [698.        312.         45.561543 ]
 [700.        330.         55.518234 ]
 [700.        348.         67.94324  ]
 [700.        362.         69.385475 ]
 [678.        376.         42.093582 ]
 [690.        376.         46.56099  ]
 [700.        376.         48.437923 ]
 [708.        376.         45.332745 ]
 [720.        374.         40.224037 ]
 [632.        312.         24.179276 ]
 [642.        308.         34.724396 ]
 [656.        308.         34.19663  ]
 [668.        314.         28.839268 ]
 [656.        318.         33.23424  ]
 [642.        318.         31.621544 ]
 [726.        314.         27.018766 ]
 [742.        308.         30.554815 ]
 [752.        308.         28.856285 ]
 [762.        312.         16.653904 ]
 [752.        318.         25.40129  ]
 [738.        314.         29.336464 ]
 [664.        414.         27.132244 ]
 [676.        406.         41.330833 ]
 [690.        398.         48.972057 ]
 [700.        402.         49.65172  ]
 [708.        398.         48.403126 ]
 [722.        406.         39.23938  ]
 [738.        410.         23.614325 ]
 [722.        418.         36.645077 ]
 [712.        424.         43.26769  ]
 [700.        424.         45.486797 ]
 [686.        424.         44.678413 ]
 [676.        420.         39.15471  ]
 [668.        410.         26.940256 ]
 [690.        410.         42.463417 ]
 [700.        410.         44.42659  ]
 [712.        410.         41.700504 ]
 [734.        410.         23.797909 ]
 [712.        410.         41.13854  ]
 [700.        410.         42.81001  ]
 [690.        410.         41.98351  ]]"
1,2,"[[588.        312.        -81.41638  ]
 [588.        340.        -82.37547  ]
 [594.        366.        -83.67753  ]
 [598.        392.        -81.800156 ]
 [610.        418.        -70.73756  ]
 [624.        440.        -48.869488 ]
 [642.        454.        -22.293833 ]
 [668.        464.          2.2540653]
 [698.        472.         11.456544 ]
 [730.        464.         -1.8137597]
 [752.        454.        -27.842361 ]
 [770.        440.        -55.762398 ]
 [784.        418.        -78.60584  ]
 [796.        392.        -90.26534  ]
 [800.        366.        -93.228195 ]
 [806.        340.        -93.35167  ]
 [806.        308.        -93.046394 ]
 [614.        286.         16.774975 ]
 [624.        274.         33.075905 ]
 [642.        272.         43.326595 ]
 [656.        274.         48.96031  ]
 [672.        278.         50.977623 ]
 [730.        278.         47.729797 ]
 [742.        274.         44.295048 ]
 [760.        272.         36.78058  ]
 [774.        274.         24.944223 ]
 [788.        286.          7.14733  ]
 [700.        312.         47.351257 ]
 [700.        330.         57.250595 ]
 [700.        344.         69.46932  ]
 [700.        362.         70.68934  ]
 [682.        374.         42.191532 ]
 [690.        376.         46.886307 ]
 [700.        376.         48.877983 ]
 [712.        376.         45.775513 ]
 [720.        374.         40.537857 ]
 [636.        312.         25.238169 ]
 [646.        308.         36.07849  ]
 [656.        308.         35.503353 ]
 [672.        312.         29.947025 ]
 [660.        314.         34.285095 ]
 [646.        314.         32.629723 ]
 [730.        312.         27.745367 ]
 [742.        308.         31.433498 ]
 [756.        308.         29.705582 ]
 [766.        312.         17.153172 ]
 [756.        314.         25.929352 ]
 [742.        314.         29.969507 ]
 [664.        410.         24.955366 ]
 [676.        406.         40.344868 ]
 [694.        398.         48.940784 ]
 [700.        398.         49.77564  ]
 [708.        398.         48.655544 ]
 [726.        402.         39.324665 ]
 [738.        410.         22.70649  ]
 [722.        418.         34.964752 ]
 [712.        420.         41.242676 ]
 [700.        424.         43.203487 ]
 [690.        424.         42.200974 ]
 [678.        418.         36.597233 ]
 [668.        410.         24.730518 ]
 [690.        410.         41.841778 ]
 [700.        406.         44.209793 ]
 [712.        406.         41.556396 ]
 [734.        410.         22.934412 ]
 [712.        410.         39.667423 ]
 [700.        410.         41.108833 ]
 [690.        410.         40.05569  ]]"
2,3,"[[588.        312.        -81.87962  ]
 [588.        340.        -82.183685 ]
 [594.        366.        -82.95448  ]
 [598.        392.        -80.777016 ]
 [610.        418.        -69.65343  ]
 [624.        440.        -47.80164  ]
 [646.        454.        -21.36032  ]
 [668.        464.          3.0545647]
 [700.        472.         12.273752 ]
 [730.        464.         -1.105128 ]
 [752.        454.        -27.245806 ]
 [770.        440.        -55.24326  ]
 [784.        418.        -78.18844  ]
 [796.        392.        -89.93483  ]
 [800.        370.        -93.1347   ]
 [806.        340.        -93.68083  ]
 [810.        312.        -93.99756  ]
 [614.        286.         16.157433 ]
 [628.        274.         32.50287  ]
 [642.        272.         42.855152 ]
 [660.        274.         48.59511  ]
 [672.        278.         50.704    ]
 [730.        278.         47.388508 ]
 [744.        274.         43.820934 ]
 [760.        272.         36.164413 ]
 [774.        274.         24.149908 ]
 [788.        286.          6.2453403]
 [700.        312.         47.85327  ]
 [700.        330.         58.214764 ]
 [700.        344.         70.70518  ]
 [700.        358.         72.136795 ]
 [682.        374.         43.051884 ]
 [690.        376.         47.86482  ]
 [700.        376.         49.917656 ]
 [712.        376.         46.751637 ]
 [720.        374.         41.34574  ]
 [636.        312.         24.915758 ]
 [646.        308.         35.85316  ]
 [660.        308.         35.275436 ]
 [672.        312.         29.819946 ]
 [660.        314.         34.198887 ]
 [646.        314.         32.47029  ]
 [730.        312.         27.505587 ]
 [742.        308.         31.104177 ]
 [756.        308.         29.357035 ]
 [766.        312.         16.711607 ]
 [756.        314.         25.67551  ]
 [742.        314.         29.805025 ]
 [664.        410.         24.114738 ]
 [678.        406.         40.3989   ]
 [694.        398.         49.50392  ]
 [700.        398.         50.354717 ]
 [708.        398.         49.22383  ]
 [726.        402.         39.486156 ]
 [738.        410.         21.975153 ]
 [726.        418.         34.50807  ]
 [712.        424.         41.11676  ]
 [700.        424.         43.102535 ]
 [690.        424.         41.95809  ]
 [678.        418.         35.991203 ]
 [668.        410.         23.817001 ]
 [690.        410.         42.227608 ]
 [700.        406.         44.7601   ]
 [712.        406.         41.99334  ]
 [738.        410.         22.15785  ]
 [712.        410.         39.43348  ]
 [700.        410.         40.98415  ]
 [690.        410.         39.707355 ]]"
3,4,"[[588.        312.        -82.481064 ]
 [592.        340.        -83.23425  ]
 [594.        366.        -84.25264  ]
 [598.        392.        -82.03675  ]
 [610.        418.        -70.539215 ]
 [624.        440.        -48.33996  ]
 [646.        454.        -21.421047 ]
 [668.        464.          3.5086067]
 [700.        476.         12.693369 ]
 [734.        464.         -0.9366581]
 [756.        454.        -27.848736 ]
 [770.        440.        -56.662376 ]
 [784.        420.        -80.20537  ]
 [796.        392.        -92.457794 ]
 [804.        366.        -95.767494 ]
 [806.        340.        -96.06552  ]
 [810.        312.        -95.99448  ]
 [614.        286.         14.913319 ]
 [628.        274.         31.097836 ]
 [642.        272.         41.261528 ]
 [660.        274.         46.899864 ]
 [676.        274.         48.974533 ]
 [730.        278.         45.437614 ]
 [744.        274.         41.761986 ]
 [760.        272.         34.038044 ]
 [778.        274.         21.979595 ]
 [788.        286.          4.052856 ]
 [700.        312.         45.650528 ]
 [700.        330.         55.781437 ]
 [700.        344.         68.16521  ]
 [700.        358.         69.59923  ]
 [682.        374.         41.335487 ]
 [690.        376.         46.09099  ]
 [700.        376.         48.151157 ]
 [712.        376.         45.00424  ]
 [720.        374.         39.65669  ]
 [636.        312.         23.298697 ]
 [646.        308.         34.086815 ]
 [660.        308.         33.442566 ]
 [672.        312.         27.961601 ]
 [660.        314.         32.275124 ]
 [646.        314.         30.64659  ]
 [730.        312.         25.476934 ]
 [744.        308.         28.938515 ]
 [756.        308.         27.108885 ]
 [766.        312.         14.474388 ]
 [756.        314.         23.384525 ]
 [742.        314.         27.579706 ]
 [664.        410.         25.513515 ]
 [678.        406.         40.352737 ]
 [694.        398.         48.705772 ]
 [700.        398.         49.54649  ]
 [712.        398.         48.45796  ]
 [726.        402.         39.767673 ]
 [738.        410.         23.988607 ]
 [726.        418.         36.61588  ]
 [716.        424.         42.792168 ]
 [700.        424.         44.651863 ]
 [690.        424.         43.550873 ]
 [678.        418.         37.85727  ]
 [668.        410.         25.357363 ]
 [690.        410.         41.706127 ]
 [700.        410.         44.106625 ]
 [712.        410.         41.690636 ]
 [738.        410.         24.379986 ]
 [712.        410.         41.19929  ]
 [700.        410.         42.455837 ]
 [690.        410.         41.329964 ]]"
4,5,"[[588.        312.        -79.13431  ]
 [592.        340.        -79.52629  ]
 [594.        366.        -80.30212  ]
 [602.        392.        -78.01079  ]
 [610.        418.        -66.55549  ]
 [624.        440.        -44.692432 ]
 [646.        454.        -18.507574 ]
 [668.        464.          5.8299656]
 [700.        476.         15.0212965]
 [734.        464.          1.1352175]
 [756.        454.        -25.251268 ]
 [774.        440.        -53.16538  ]
 [788.        418.        -76.258    ]
 [796.        392.        -88.397705 ]
 [804.        366.        -91.802315 ]
 [806.        340.        -92.42866  ]
 [810.        312.        -92.74014  ]
 [614.        286.         18.025036 ]
 [628.        274.         33.700657 ]
 [646.        272.         43.51846  ]
 [660.        274.         48.856236 ]
 [676.        274.         50.57678  ]
 [730.        278.         46.75455  ]
 [744.        274.         43.39982  ]
 [760.        272.         35.98777  ]
 [778.        274.         24.315887 ]
 [788.        286.          6.8965507]
 [700.        312.         46.51484  ]
 [700.        330.         56.345886 ]
 [700.        344.         68.75148  ]
 [704.        358.         70.11873  ]
 [682.        374.         42.787632 ]
 [694.        374.         47.138386 ]
 [700.        376.         48.940117 ]
 [712.        374.         45.83911  ]
 [720.        374.         40.764957 ]
 [636.        312.         26.825876 ]
 [646.        308.         37.359364 ]
 [660.        308.         36.66588  ]
 [672.        312.         31.058184 ]
 [660.        314.         35.618843 ]
 [646.        314.         34.199547 ]
 [730.        312.         28.336092 ]
 [744.        308.         31.890148 ]
 [756.        308.         30.025518 ]
 [766.        312.         17.613337 ]
 [756.        314.         26.53737  ]
 [742.        314.         30.609173 ]
 [668.        410.         25.657694 ]
 [678.        402.         40.685436 ]
 [694.        398.         49.17005  ]
 [704.        398.         49.981503 ]
 [712.        398.         48.726402 ]
 [726.        402.         39.177105 ]
 [742.        410.         22.617432 ]
 [726.        418.         35.537846 ]
 [716.        424.         42.303665 ]
 [704.        424.         44.441856 ]
 [690.        424.         43.42465  ]
 [678.        418.         37.562584 ]
 [668.        410.         25.29139  ]
 [694.        410.         42.335766 ]
 [704.        406.         44.616535 ]
 [716.        406.         41.83502  ]
 [738.        410.         22.768677 ]
 [712.        410.         40.28159  ]
 [704.        410.         41.96662  ]
 [694.        410.         40.831646 ]]"
5,6,"[[ 5.8800000e+02  3.0800000e+02 -7.8414825e+01]
 [ 5.9200000e+02  3.3600000e+02 -7.8743980e+01]
 [ 5.9400000e+02  3.6600000e+02 -7.9580330e+01]
 [ 6.0200000e+02  3.9200000e+02 -7.7381111e+01]
 [ 6.1000000e+02  4.1800000e+02 -6.6082397e+01]
 [ 6.2800000e+02  4.4000000e+02 -4.4333622e+01]
 [ 6.4600000e+02  4.5400000e+02 -1.8188484e+01]
 [ 6.6800000e+02  4.6400000e+02  6.0914021e+00]
 [ 7.0000000e+02  4.7200000e+02  1.4977595e+01]
 [ 7.3400000e+02  4.6400000e+02  8.0909675e-01]
 [ 7.5600000e+02  4.5400000e+02 -2.5885849e+01]
 [ 7.7400000e+02  4.4000000e+02 -5.3992191e+01]
 [ 7.8800000e+02  4.1800000e+02 -7.7172638e+01]
 [ 7.9600000e+02  3.9200000e+02 -8.9210205e+01]
 [ 8.0400000e+02  3.6600000e+02 -9.2551933e+01]
 [ 8.0600000e+02  3.4000000e+02 -9.3103752e+01]
 [ 8.1000000e+02  3.0800000e+02 -9.3446686e+01]
 [ 6.1400000e+02  2.8600000e+02  1.9404711e+01]
 [ 6.2800000e+02  2.7400000e+02  3.5162148e+01]
 [ 6.4600000e+02  2.7200000e+02  4.5121361e+01]
 [ 6.6000000e+02  2.7200000e+02  5.0503860e+01]
 [ 6.7600000e+02  2.7400000e+02  5.2190220e+01]
 [ 7.3000000e+02  2.7400000e+02  4.8034443e+01]
 [ 7.4400000e+02  2.7200000e+02  4.4554893e+01]
 [ 7.6000000e+02  2.7200000e+02  3.6912949e+01]
 [ 7.7800000e+02  2.7400000e+02  2.4919008e+01]
 [ 7.9200000e+02  2.8600000e+02  7.2359762e+00]
 [ 7.0000000e+02  3.0800000e+02  4.8127544e+01]
 [ 7.0400000e+02  3.3000000e+02  5.8043385e+01]
 [ 7.0400000e+02  3.4400000e+02  7.0320824e+01]
 [ 7.0400000e+02  3.5800000e+02  7.1551537e+01]
 [ 6.8200000e+02  3.7400000e+02  4.3861732e+01]
 [ 6.9400000e+02  3.7400000e+02  4.8171394e+01]
 [ 7.0400000e+02  3.7600000e+02  4.9822018e+01]
 [ 7.1200000e+02  3.7400000e+02  4.6680130e+01]
 [ 7.2000000e+02  3.7400000e+02  4.1500778e+01]
 [ 6.3600000e+02  3.1200000e+02  2.8115824e+01]
 [ 6.4600000e+02  3.0400000e+02  3.8820732e+01]
 [ 6.6000000e+02  3.0400000e+02  3.8071503e+01]
 [ 6.7200000e+02  3.1200000e+02  3.2334515e+01]
 [ 6.6000000e+02  3.1400000e+02  3.6972725e+01]
 [ 6.4600000e+02  3.1400000e+02  3.5551003e+01]
 [ 7.3000000e+02  3.1200000e+02  2.9239325e+01]
 [ 7.4400000e+02  3.0400000e+02  3.2779751e+01]
 [ 7.6000000e+02  3.0400000e+02  3.0826530e+01]
 [ 7.6600000e+02  3.1200000e+02  1.8147949e+01]
 [ 7.5600000e+02  3.1400000e+02  2.7238935e+01]
 [ 7.4400000e+02  3.1400000e+02  3.1446987e+01]
 [ 6.6400000e+02  4.1000000e+02  2.6478313e+01]
 [ 6.7800000e+02  4.0200000e+02  4.1389435e+01]
 [ 6.9400000e+02  3.9800000e+02  4.9586937e+01]
 [ 7.0400000e+02  3.9800000e+02  5.0217846e+01]
 [ 7.1200000e+02  3.9800000e+02  4.8923233e+01]
 [ 7.2600000e+02  4.0200000e+02  3.9186420e+01]
 [ 7.4200000e+02  4.1000000e+02  2.2429819e+01]
 [ 7.2600000e+02  4.1800000e+02  3.5753029e+01]
 [ 7.1600000e+02  4.2000000e+02  4.2702133e+01]
 [ 7.0400000e+02  4.2400000e+02  4.5058136e+01]
 [ 6.9000000e+02  4.2400000e+02  4.4180283e+01]
 [ 6.7800000e+02  4.1800000e+02  3.8397316e+01]
 [ 6.6800000e+02  4.1000000e+02  2.6108334e+01]
 [ 6.9400000e+02  4.0600000e+02  4.2615551e+01]
 [ 7.0400000e+02  4.0600000e+02  4.4729977e+01]
 [ 7.1600000e+02  4.0600000e+02  4.1797546e+01]
 [ 7.3800000e+02  4.1000000e+02  2.2595226e+01]
 [ 7.1600000e+02  4.1000000e+02  4.0634243e+01]
 [ 7.0400000e+02  4.1000000e+02  4.2498829e+01]
 [ 6.9400000e+02  4.1000000e+02  4.1504044e+01]]"
6,7,"[[ 5.8800000e+02  3.0800000e+02 -8.2126953e+01]
 [ 5.9200000e+02  3.3600000e+02 -8.2442497e+01]
 [ 5.9400000e+02  3.6600000e+02 -8.3361649e+01]
 [ 6.0200000e+02  3.9200000e+02 -8.1132553e+01]
 [ 6.1000000e+02  4.1800000e+02 -6.9738602e+01]
 [ 6.2400000e+02  4.4000000e+02 -4.7340324e+01]
 [ 6.4600000e+02  4.5400000e+02 -2.0227058e+01]
 [ 6.6800000e+02  4.6400000e+02  4.5503864e+00]
 [ 7.0000000e+02  4.7200000e+02  1.3420773e+01]
 [ 7.3400000e+02  4.6400000e+02 -6.1338383e-01]
 [ 7.5600000e+02  4.5400000e+02 -2.7788479e+01]
 [ 7.7400000e+02  4.4000000e+02 -5.6422855e+01]
 [ 7.8800000e+02  4.1800000e+02 -7.9795471e+01]
 [ 8.0000000e+02  3.9200000e+02 -9.1817513e+01]
 [ 8.0400000e+02  3.6600000e+02 -9.5268845e+01]
 [ 8.0600000e+02  3.4000000e+02 -9.5941399e+01]
 [ 8.1000000e+02  3.0800000e+02 -9.6410286e+01]
 [ 6.1400000e+02  2.8600000e+02  1.6770689e+01]
 [ 6.2800000e+02  2.7400000e+02  3.3213356e+01]
 [ 6.4600000e+02  2.7200000e+02  4.3611210e+01]
 [ 6.6000000e+02  2.7200000e+02  4.9353474e+01]
 [ 6.7600000e+02  2.7400000e+02  5.1452095e+01]
 [ 7.3000000e+02  2.7400000e+02  4.7053684e+01]
 [ 7.4400000e+02  2.7200000e+02  4.3218147e+01]
 [ 7.6200000e+02  2.7200000e+02  3.5241199e+01]
 [ 7.7800000e+02  2.7400000e+02  2.2901695e+01]
 [ 7.9200000e+02  2.8600000e+02  4.6250796e+00]
 [ 7.0400000e+02  3.0800000e+02  4.8573559e+01]
 [ 7.0400000e+02  3.2600000e+02  5.9236359e+01]
 [ 7.0400000e+02  3.4400000e+02  7.1706467e+01]
 [ 7.0400000e+02  3.5800000e+02  7.3114342e+01]
 [ 6.8200000e+02  3.7400000e+02  4.3762047e+01]
 [ 6.9400000e+02  3.7400000e+02  4.8540279e+01]
 [ 7.0400000e+02  3.7600000e+02  5.0334999e+01]
 [ 7.1200000e+02  3.7400000e+02  4.6895206e+01]
 [ 7.2200000e+02  3.7400000e+02  4.1145504e+01]
 [ 6.3600000e+02  3.1200000e+02  2.5522993e+01]
 [ 6.4600000e+02  3.0400000e+02  3.6429871e+01]
 [ 6.6000000e+02  3.0400000e+02  3.5622818e+01]
 [ 6.7200000e+02  3.1200000e+02  2.9896997e+01]
 [ 6.6000000e+02  3.1400000e+02  3.4547535e+01]
 [ 6.4600000e+02  3.1400000e+02  3.3018879e+01]
 [ 7.3400000e+02  3.1200000e+02  2.6597208e+01]
 [ 7.4400000e+02  3.0800000e+02  3.0015421e+01]
 [ 7.6000000e+02  3.0800000e+02  2.8033037e+01]
 [ 7.6600000e+02  3.1200000e+02  1.5143656e+01]
 [ 7.6000000e+02  3.1400000e+02  2.4279926e+01]
 [ 7.4400000e+02  3.1400000e+02  2.8702810e+01]
 [ 6.6400000e+02  4.1000000e+02  2.6726068e+01]
 [ 6.7800000e+02  4.0200000e+02  4.1968513e+01]
 [ 6.9400000e+02  3.9800000e+02  4.9808441e+01]
 [ 7.0400000e+02  3.9800000e+02  5.0233631e+01]
 [ 7.1200000e+02  3.9800000e+02  4.8851349e+01]
 [ 7.2600000e+02  4.0200000e+02  3.8596497e+01]
 [ 7.4200000e+02  4.1000000e+02  2.1079552e+01]
 [ 7.2600000e+02  4.1800000e+02  3.5100052e+01]
 [ 7.1600000e+02  4.2000000e+02  4.2294670e+01]
 [ 7.0400000e+02  4.2400000e+02  4.4891060e+01]
 [ 6.9000000e+02  4.2000000e+02  4.4305996e+01]
 [ 6.7800000e+02  4.1800000e+02  3.8800678e+01]
 [ 6.6800000e+02  4.1000000e+02  2.6591686e+01]
 [ 6.9400000e+02  4.0600000e+02  4.2772251e+01]
 [ 7.0400000e+02  4.0600000e+02  4.4590576e+01]
 [ 7.1600000e+02  4.0600000e+02  4.1350834e+01]
 [ 7.3800000e+02  4.1000000e+02  2.1441246e+01]
 [ 7.1600000e+02  4.1000000e+02  4.0303558e+01]
 [ 7.0400000e+02  4.1000000e+02  4.2418861e+01]
 [ 6.9400000e+02  4.1000000e+02  4.1840988e+01]]"
7,8,"[[588.        308.        -80.26972  ]
 [592.        336.        -81.25073  ]
 [594.        366.        -82.621376 ]
 [602.        392.        -80.7262   ]
 [610.        418.        -69.53541  ]
 [628.        440.        -47.542927 ]
 [646.        454.        -20.955244 ]
 [668.        464.          3.1907134]
 [700.        472.         11.772775 ]
 [734.        464.         -2.1087904]
 [756.        454.        -28.711046 ]
 [774.        440.        -56.881973 ]
 [788.        418.        -79.93775  ]
 [800.        392.        -91.83733  ]
 [804.        366.        -94.93958  ]
 [810.        340.        -95.221535 ]
 [810.        308.        -95.031    ]
 [616.        286.         18.33843  ]
 [628.        274.         34.487957 ]
 [646.        272.         44.594734 ]
 [660.        272.         50.07468  ]
 [676.        274.         51.93629  ]
 [734.        278.         47.494286 ]
 [744.        274.         43.854248 ]
 [762.        272.         36.094204 ]
 [778.        274.         23.958416 ]
 [792.        286.          5.9212193]
 [704.        308.         47.52284  ]
 [704.        330.         57.44303  ]
 [704.        344.         69.75406  ]
 [704.        358.         71.04597  ]
 [686.        374.         43.220894 ]
 [694.        374.         47.713493 ]
 [704.        376.         49.434307 ]
 [716.        374.         46.020515 ]
 [722.        374.         40.534374 ]
 [638.        312.         26.798576 ]
 [650.        308.         37.561653 ]
 [660.        308.         36.765877 ]
 [676.        312.         30.953142 ]
 [664.        314.         35.531338 ]
 [650.        314.         34.103188 ]
 [734.        312.         27.518661 ]
 [744.        308.         31.02238  ]
 [760.        308.         29.027147 ]
 [770.        312.         16.25115  ]
 [760.        314.         25.240887 ]
 [744.        314.         29.534029 ]
 [668.        410.         27.875584 ]
 [678.        402.         42.545235 ]
 [698.        398.         50.174477 ]
 [704.        398.         50.68409  ]
 [712.        398.         49.2114   ]
 [726.        402.         39.159008 ]
 [742.        410.         22.14302  ]
 [726.        418.         35.128242 ]
 [716.        420.         41.79691  ]
 [704.        424.         44.26899  ]
 [690.        420.         43.84984  ]
 [678.        418.         38.8959   ]
 [672.        410.         27.702892 ]
 [694.        406.         43.232346 ]
 [704.        406.         45.053223 ]
 [716.        406.         41.808    ]
 [738.        410.         22.47038  ]
 [716.        410.         40.099846 ]
 [704.        410.         42.066628 ]
 [694.        410.         41.653667 ]]"
8,9,"[[588.        308.        -80.15689  ]
 [592.        336.        -81.15666  ]
 [594.        366.        -82.55786  ]
 [602.        392.        -80.72134  ]
 [610.        418.        -69.62272  ]
 [628.        440.        -47.735558 ]
 [646.        454.        -21.25851  ]
 [668.        464.          2.7904406]
 [700.        472.         11.2679615]
 [734.        464.         -2.6889243]
 [756.        454.        -29.332464 ]
 [774.        440.        -57.54466  ]
 [788.        418.        -80.61871  ]
 [800.        392.        -92.46177  ]
 [804.        366.        -95.513824 ]
 [806.        340.        -95.74211  ]
 [810.        308.        -95.5194   ]
 [616.        286.         18.589796 ]
 [628.        274.         34.756958 ]
 [646.        272.         44.861576 ]
 [660.        272.         50.331757 ]
 [676.        274.         52.16486  ]
 [734.        278.         47.607788 ]
 [744.        274.         43.917953 ]
 [762.        272.         36.09454  ]
 [778.        274.         23.875526 ]
 [792.        286.          5.744327 ]
 [704.        312.         47.65139  ]
 [704.        330.         57.576153 ]
 [704.        344.         69.86201  ]
 [704.        358.         71.1235   ]
 [686.        374.         43.14894  ]
 [694.        374.         47.642002 ]
 [704.        376.         49.348404 ]
 [716.        374.         45.914913 ]
 [722.        374.         40.39981  ]
 [638.        312.         26.950478 ]
 [650.        308.         37.731487 ]
 [660.        308.         36.90141  ]
 [676.        312.         31.038614 ]
 [664.        314.         35.644684 ]
 [650.        314.         34.240356 ]
 [734.        312.         27.492786 ]
 [744.        308.         30.995504 ]
 [760.        308.         28.965767 ]
 [770.        312.         16.122461 ]
 [760.        314.         25.151863 ]
 [744.        314.         29.491165 ]
 [668.        410.         27.418947 ]
 [678.        402.         42.20325  ]
 [698.        398.         49.924    ]
 [704.        398.         50.423286 ]
 [712.        398.         48.94648  ]
 [726.        402.         38.8318   ]
 [742.        410.         21.667559 ]
 [726.        418.         34.66923  ]
 [716.        420.         41.369843 ]
 [704.        424.         43.84601  ]
 [694.        420.         43.41281  ]
 [678.        418.         38.4229   ]
 [672.        410.         27.214378 ]
 [694.        406.         42.909184 ]
 [704.        406.         44.75629  ]
 [716.        406.         41.498627 ]
 [738.        410.         21.989498 ]
 [716.        410.         39.682674 ]
 [704.        410.         41.655144 ]
 [694.        410.         41.211895 ]]"
9,10,"[[588.        308.        -80.01476  ]
 [592.        336.        -81.00337  ]
 [594.        366.        -82.3722   ]
 [602.        388.        -80.54284  ]
 [610.        418.        -69.467384 ]
 [628.        440.        -47.688293 ]
 [646.        454.        -21.305222 ]
 [668.        464.          2.7042143]
 [700.        472.         11.1972885]
 [734.        464.         -2.6570318]
 [756.        454.        -29.065191 ]
 [774.        440.        -57.14889  ]
 [788.        418.        -80.15746  ]
 [800.        392.        -91.9531   ]
 [804.        366.        -94.96587  ]
 [810.        340.        -95.16076  ]
 [810.        308.        -94.883316 ]
 [616.        286.         18.578152 ]
 [628.        274.         34.706356 ]
 [646.        272.         44.82253  ]
 [660.        272.         50.293636 ]
 [676.        274.         52.12729  ]
 [734.        278.         47.672394 ]
 [744.        274.         44.034798 ]
 [762.        272.         36.257423 ]
 [778.        274.         24.11617  ]
 [792.        286.          6.0911555]
 [704.        308.         47.598763 ]
 [704.        330.         57.464386 ]
 [704.        344.         69.73669  ]
 [704.        358.         70.995544 ]
 [686.        374.         43.1365   ]
 [694.        374.         47.63315  ]
 [704.        376.         49.385944 ]
 [716.        374.         46.009487 ]
 [722.        374.         40.56866  ]
 [638.        312.         26.997314 ]
 [650.        308.         37.78052  ]
 [660.        308.         36.98169  ]
 [676.        312.         31.167934 ]
 [664.        314.         35.718334 ]
 [650.        314.         34.28789  ]
 [734.        312.         27.735159 ]
 [744.        308.         31.257782 ]
 [760.        308.         29.252563 ]
 [770.        312.         16.454287 ]
 [760.        314.         25.457684 ]
 [744.        314.         29.753788 ]
 [668.        410.         27.284096 ]
 [678.        402.         42.1248   ]
 [698.        398.         50.02297  ]
 [704.        398.         50.615276 ]
 [712.        398.         49.199783 ]
 [730.        402.         39.286602 ]
 [742.        410.         22.224583 ]
 [726.        418.         34.972095 ]
 [716.        420.         41.508022 ]
 [704.        424.         43.86339  ]
 [694.        424.         43.3259   ]
 [678.        418.         38.271793 ]
 [672.        410.         27.068247 ]
 [694.        406.         42.981236 ]
 [704.        406.         44.963905 ]
 [716.        406.         41.828    ]
 [738.        410.         22.549856 ]
 [716.        410.         39.889935 ]
 [704.        410.         41.73338  ]
 [694.        410.         41.165794 ]]"
