,box,confidence,keypoints
0,"[129, 224, 204, 237]",0.9998012185096741,"{'left_eye': (194, 317), 'right_eye': (286, 316), 'nose': (240, 365), 'mouth_left': (203, 411), 'mouth_right': (281, 411)}"
1,"[130, 224, 203, 236]",0.9997971653938293,"{'left_eye': (195, 316), 'right_eye': (287, 316), 'nose': (242, 363), 'mouth_left': (204, 410), 'mouth_right': (281, 410)}"
2,"[131, 223, 204, 237]",0.9998456239700317,"{'left_eye': (196, 315), 'right_eye': (288, 315), 'nose': (243, 363), 'mouth_left': (204, 410), 'mouth_right': (282, 411)}"
3,"[130, 216, 213, 263]",0.9999936819076538,"{'left_eye': (196, 313), 'right_eye': (293, 315), 'nose': (243, 361), 'mouth_left': (199, 418), 'mouth_right': (284, 419)}"
4,"[126, 211, 221, 271]",0.9999966621398926,"{'left_eye': (195, 310), 'right_eye': (293, 313), 'nose': (242, 363), 'mouth_left': (196, 414), 'mouth_right': (289, 418)}"
5,"[131, 215, 212, 263]",0.9999922513961792,"{'left_eye': (197, 312), 'right_eye': (293, 314), 'nose': (244, 362), 'mouth_left': (199, 419), 'mouth_right': (285, 419)}"
6,"[130, 216, 214, 265]",0.9999942779541016,"{'left_eye': (197, 312), 'right_eye': (293, 314), 'nose': (245, 362), 'mouth_left': (199, 419), 'mouth_right': (285, 420)}"
7,"[126, 210, 222, 273]",0.999996542930603,"{'left_eye': (196, 310), 'right_eye': (295, 313), 'nose': (243, 364), 'mouth_left': (196, 415), 'mouth_right': (291, 419)}"
8,"[126, 209, 222, 273]",0.9999971389770508,"{'left_eye': (196, 310), 'right_eye': (295, 313), 'nose': (244, 363), 'mouth_left': (197, 415), 'mouth_right': (291, 419)}"
9,"[126, 210, 221, 273]",0.9999960660934448,"{'left_eye': (196, 311), 'right_eye': (294, 314), 'nose': (243, 365), 'mouth_left': (196, 414), 'mouth_right': (290, 419)}"
10,"[126, 210, 222, 273]",0.9999969005584717,"{'left_eye': (196, 310), 'right_eye': (295, 313), 'nose': (244, 363), 'mouth_left': (197, 415), 'mouth_right': (291, 419)}"
11,"[126, 210, 222, 273]",0.9999969005584717,"{'left_eye': (196, 310), 'right_eye': (295, 313), 'nose': (244, 363), 'mouth_left': (197, 415), 'mouth_right': (290, 419)}"
12,"[127, 211, 220, 273]",0.9999970197677612,"{'left_eye': (196, 311), 'right_eye': (294, 314), 'nose': (243, 365), 'mouth_left': (196, 415), 'mouth_right': (290, 419)}"
13,"[126, 210, 221, 272]",0.9999974966049194,"{'left_eye': (197, 311), 'right_eye': (294, 314), 'nose': (244, 363), 'mouth_left': (197, 415), 'mouth_right': (290, 419)}"
14,"[126, 211, 221, 273]",0.9999971389770508,"{'left_eye': (197, 311), 'right_eye': (294, 314), 'nose': (244, 365), 'mouth_left': (197, 415), 'mouth_right': (291, 419)}"
15,"[127, 210, 221, 274]",0.9999960660934448,"{'left_eye': (197, 311), 'right_eye': (295, 314), 'nose': (244, 366), 'mouth_left': (197, 415), 'mouth_right': (291, 420)}"
16,"[127, 211, 222, 273]",0.9999960660934448,"{'left_eye': (197, 311), 'right_eye': (295, 314), 'nose': (244, 365), 'mouth_left': (197, 416), 'mouth_right': (291, 420)}"
17,"[132, 220, 207, 242]",0.9999977350234985,"{'left_eye': (199, 315), 'right_eye': (291, 315), 'nose': (247, 360), 'mouth_left': (209, 410), 'mouth_right': (282, 412)}"
18,"[127, 211, 221, 273]",0.9999972581863403,"{'left_eye': (198, 311), 'right_eye': (295, 314), 'nose': (245, 365), 'mouth_left': (198, 415), 'mouth_right': (292, 419)}"
19,"[128, 211, 221, 273]",0.9999967813491821,"{'left_eye': (198, 312), 'right_eye': (296, 314), 'nose': (246, 367), 'mouth_left': (199, 416), 'mouth_right': (292, 419)}"
20,"[133, 222, 207, 243]",0.9999990463256836,"{'left_eye': (200, 316), 'right_eye': (292, 316), 'nose': (249, 360), 'mouth_left': (209, 411), 'mouth_right': (283, 413)}"
21,"[133, 222, 207, 242]",0.9999986886978149,"{'left_eye': (200, 316), 'right_eye': (293, 316), 'nose': (249, 360), 'mouth_left': (209, 411), 'mouth_right': (283, 414)}"
22,"[131, 220, 214, 262]",0.9999963045120239,"{'left_eye': (202, 314), 'right_eye': (296, 316), 'nose': (249, 364), 'mouth_left': (203, 419), 'mouth_right': (288, 421)}"
23,"[132, 220, 215, 264]",0.9999961853027344,"{'left_eye': (203, 314), 'right_eye': (298, 316), 'nose': (250, 363), 'mouth_left': (204, 420), 'mouth_right': (289, 421)}"
24,"[132, 218, 215, 262]",0.9999972581863403,"{'left_eye': (201, 316), 'right_eye': (296, 317), 'nose': (250, 368), 'mouth_left': (204, 419), 'mouth_right': (290, 420)}"
